연번,소관명,세부사업명,예산(백만원)
353,산업통상자원부,현장수요대응원전첨단제조기술및부품‧장비개발(R&D),8000
354,산업통상자원부,자동차보안취약점기반위협분석시스템(R&D),5350
355,산업통상자원부,산업AI용데이터전처리자동화기술개발(R&D),3200
356,산업통상자원부,신산업대응차세대공통·핵심뿌리기술개발사업,7714
357,산업통상자원부,미래차첨단ECU생태계활성화,2000
358,산업통상자원부,저탄소미래차부품시제작/생산기반구축,2855
359,산업통상자원부,실도로인프라연계자율주행오픈이노베이션생태계구축,1660
360,산업통상자원부,모빌리티인증부품산업육성기반조성,2000
361,산업통상자원부,CVC투자연계대중견중소기업협력(R&D),1875
362,산업통상자원부,규제특례신산업창출(R&D),2000
363,산업통상자원부,R&D혁신스케일업융자(이차보전),11250
364,산업통상자원부,나노융합산업생태계조성촉진,1618
365,산업통상자원부,수소산업진흥기반구축,9185
366,산업통상자원부,원전생태계금융지원사업,150000
367,산업통상자원부,전력효율향상,104329
368,산업통상자원부,한국탄소산업진흥원운영(R&D),31459
369,기획재정부,반도체디스플레이온실가스감축공정기술개발(R&D),2864
370,기획재정부,청정제조기반구축(R&D),1982
371,기획재정부,탄소혁신스타즈프로젝트(R&D),2500
372,기획재정부,탄소중립설비투자지원(산업부),152527
373,중소벤처기업부,레저장비산업개발지원(중기부),561
374,식품의약품안전처,HACCP제도활성화,6268
375,식품의약품안전처,한국의료기기안전정보원지원,6998
376,식품의약품안전처,의약품품질고도화,6179
377,식품의약품안전처,신기술적용식품(푸드테크)안전기술지원(R&D),2452
378,우주항공청,(혁신도전형)상시재난감시용성층권드론기술개발(R&D),6800
379,우주항공청,항공우주부품공정고도화기술개발(R&D),2475
380,조달청,정부조달국제협력체제구축,4505
381,조달청,조달물자구매및관리지원(자본),49706
382,조달청,공공혁신수요기반혁신제품기술개발(R&D),2968
383,특허청,IP-R&D전략지원(R&D),41677
384,특허청,발명장려문화조성,4305
385,특허청,지식재산창출지원,20660
386,특허청,IP활용창업·성장지원,11275
387,해양수산부,스마트항만-자율운항선박연계기술개발(R&D),5113
388,해양수산부,선체부착생물처리기술개발(R&D),5654
389,해양수산부,해상디지털통합활용연계기술개발(R&D),1800
390,해양수산부,수산물신선유통스마트기술개발(R&D),3875
391,해양수산부,수산식품산업맞춤형기술개발(R&D),1950
392,해양수산부,수산물수매지원(융자),152743
393,해양수산부,우수수산물지원(융자),148946
394,해양수산부,해양수산신산업육성및기업투자유치지원,24578
395,해양수산부,스마트해양조사및정보활용기술개발(R&D),5100
396,해양수산부,해양기후변화진단및장기전망연구(R&D),5475
397,해양수산부,해양레저장비및안전기술개발(R&D),5580
398,해양수산부,해양수산산업핵심기자재국산화및표준화기술개발(R&D),2591
399,해양수산부,해양수산부산물바이오소재화기술개발(R&D),3000
400,해양수산부,자율운항선박기술개발사업(R&D),5697
401,해양수산부,블루카본증대를위한세라믹계융합소재활용해양인공구조물개발,1600
402,해양수산부,친환경선박보급촉진,10350
403,해양수산부,해운물류전문인력양성,3652
404,해양수산부,수산산업창업투자지원,5588
405,해양수산부,쿠로시오해류로인한한반도해양위기대응기술개발,2500
406,해양수산부,스마트선박용수로정보표준개발,2400
407,해양수산부,대체해조육및수산배양육기술개발(R&D),4120
408,해양수산부,어선원안전·보건관리체계구축,2124
409,해양수산부,해양수산딥테크육성기술개발사업(R&D),4125
410,행정안전부,마을기업육성사업,1675
411,행정안전부,지역주도형청년일자리사업,19853
412,행정안전부,재난안전산업활성화,3124
413,행정안전부,재난안전산업기술사업화지원(R&D),9570
414,행정안전부,도시침수방어능력강화를위한피해저감실용화기술개발(R&D),2650
415,행정안전부,AI기반안전신고정보의과학적분석서비스기술개발(R&D),1080
416,환경부,녹색환경지원센터활성화지원,6057
417,환경부,사업장미세먼지관리사업,48953
418,환경부,사업장미세먼지지능형최적저감·관리기술개발(R&D),7959
419,환경부,생활주변미세먼지관리사업,42368
420,환경부,"화학물질취급안전관리,지원",14734
421,환경부,화학사고예측‧예방고도화기술개발사업,5041
422,환경부,고순도공업용수생산국산화기술개발사업(R&D),2930
423,환경부,물산업진흥및물기업육성,6880
424,환경부,물산업클러스터운영,27197
425,환경부,자원순환촉진지원,20623
426,환경부,미래환경산업육성융자,333328
427,환경부,중소환경기업사업화지원사업,87815
428,환경부,환경산업수출기반육성지원,30265
429,환경부,물‧대기산업경쟁력강화를위한주요기자재국산화기술개발사업(R&D),6267
430,환경부,친환경경제사회기반구축,8047
431,환경부,대기환경무인기One-stop플랫폼기술개발사업,4000
432,기획재정부,탄소중립설비투자지원(환경부),213204
433,기획재정부,온실가스관리인프라구축(환경부),37563
434,기획재정부,탄소중립사업화지원(환경부),3000
