연번,지자체명,세부사업명,예산(백만원)
198,경남,제조로봇적용뿌리산업공정개발지원(국가직접지원),650.0
199,경남,지역산업마케팅지원(벤더등록)(전환),400.0
200,경남,경남중소·벤처기업판로지원사업,50.0
201,경남,경남형스타트업액셀러레이팅,300.0
202,경남,기업인단체교류협력사업,10.0
203,경남,소규모기업환경개선사업,250.0
204,경남,여성기업활동촉진사업,72.0
205,경남,중소기업녹색인증컨설팅지원사업,30.0
206,경남,중소기업육성자금이차보전금지원,20000.0
207,경남,지역주도형청년일자리사업,283.405
208,경남,창업기업신규고용인력보조금지원,70.0
209,경남,소상공인온라인판로개척,500.0
210,경남,수출기반지원,605.0
211,경남,지방투자촉진보조,11345.57
212,경남,지역산업마케팅지원(해외마케팅)(전환),3200.0
213,경남,중소기업수출역량강화지원,410.0
214,경남,수산물가공공장스마트화지원,42.75
215,경남,수산박람회참가지원,16.0
216,경남,지역특화산업육성기업지원사업(국가직접지원),509.0
217,경남,주력산업(첨단정밀기계)육성지원(국가직접지원),1019.0
218,경남,경남창조경제혁신센터운영지원(국가직접지원),1000.0
219,경남,글로벌강소기업육성사업(국가직접지원),760.0
220,경남,지역지식재산창출지원(국가직접지원),1496.0
221,경남,창업도약패키지지원사업(국가직접지원),200.0
222,경남,창업보육센터운영·지원(국가직접지원),550.0
223,경남,초기창업패키지지원사업(국가직접지원),100.0
224,경남,FTA통상진흥센터운영지원(국가직접지원),150.0
225,경남,로봇연구센터활성화정책자금지원,100.0
226,경남,사회적경제기금운용,2203.0
227,경남,서비스로봇산업육성지원,100.0
228,경남,경남수출초보기업지원(국가직접지원),37.0
229,경남,의료기기·의료용품기술개발및사업화지원사업,70.0
230,경남,경남디자인주도제조혁신지원사업(국가직접지원),1000.0
231,경남,창업·벤처투자유치지원사업,84.0
232,경남,중소기업매출채권보험료지원,200.0
233,경남,청년친화기업선정지원,620.0
234,경남,중소기업협동조합활성화지원,27.0
235,경남,소상공인생애주기별맞춤지원,495.0
236,경남,기업투자촉진지구보조,949.2
237,경남,지역스타기업육성사업(국가직접지원),20.0
238,경남,지역혁신선도기업육성사업(국가직접지원),377.0
